DATE,DEXUSAL
2014-03-01,0.8929
2014-03-02,0.8929
2014-03-03,0.8929
2014-03-04,0.894
2014-03-05,0.8984
2014-03-06,0.91
2014-03-07,0.9071
2014-03-08,0.9021
2014-03-09,0.9021
2014-03-10,0.9021
2014-03-11,0.902
2014-03-12,0.8972
2014-03-13,0.9058
2014-03-14,0.904
2014-03-15,0.9092
2014-03-16,0.9092
2014-03-17,0.9092
2014-03-18,0.9134
2014-03-19,0.9103
2014-03-20,0.9042
2014-03-21,0.909
2014-03-22,0.9126
2014-03-23,0.9126
2014-03-24,0.9126
2014-03-25,0.9147
2014-03-26,0.9225
2014-03-27,0.9262
2014-03-28,0.9239
2014-03-29,0.9275
2014-03-30,0.9275
2014-03-31,0.9275
2014-04-01,0.9252
2014-04-02,0.9236
2014-04-03,0.9219
2014-04-04,0.9292
2014-04-05,0.9265
2014-04-06,0.9265
2014-04-07,0.9265
2014-04-08,0.9356
2014-04-09,0.9368
2014-04-10,0.9424
2014-04-11,0.9401
2014-04-12,0.9409
2014-04-13,0.9409
2014-04-14,0.9409
2014-04-15,0.9342
2014-04-16,0.938
2014-04-17,0.9339
2014-04-18,0.933
2014-04-19,0.9337
2014-04-20,0.9337
2014-04-21,0.9337
2014-04-22,0.9365
2014-04-23,0.9283
2014-04-24,0.9257
2014-04-25,0.9272
2014-04-26,0.9254
2014-04-27,0.9254
2014-04-28,0.9254
2014-04-29,0.9266
2014-04-30,0.9282
2014-05-01,0.9275
2014-05-02,0.9257
2014-05-03,0.9276
2014-05-04,0.9276
2014-05-05,0.9276
2014-05-06,0.936
2014-05-07,0.9336
2014-05-08,0.9382
2014-05-09,0.9358
2014-05-10,0.9364
2014-05-11,0.9364
2014-05-12,0.9364
2014-05-13,0.9369
2014-05-14,0.9379
2014-05-15,0.9346
2014-05-16,0.9367
2014-05-17,0.9343
2014-05-18,0.9343
2014-05-19,0.9343
2014-05-20,0.9259
2014-05-21,0.9215
2014-05-22,0.9222
2014-05-23,0.9235
2014-05-24,0.924
2014-05-25,0.924
2014-05-26,0.924
2014-05-27,0.924
2014-05-28,0.9227
2014-05-29,0.9289
2014-05-30,0.9298
2014-05-31,0.925
2014-06-01,0.925
2014-06-02,0.925
2014-06-03,0.9255
2014-06-04,0.9269
2014-06-05,0.9321
2014-06-06,0.9328
2014-06-07,0.9347
2014-06-08,0.9347
2014-06-09,0.9347
2014-06-10,0.9365
2014-06-11,0.9391
2014-06-12,0.943
2014-06-13,0.9396
2014-06-14,0.94
2014-06-15,0.94
2014-06-16,0.94
2014-06-17,0.934
2014-06-18,0.934
2014-06-19,0.9406
2014-06-20,0.9387
2014-06-21,0.9417
2014-06-22,0.9417
2014-06-23,0.9417
2014-06-24,0.938
2014-06-25,0.9398
2014-06-26,0.9405
2014-06-27,0.9413
2014-06-28,0.9427
2014-06-29,0.9427
2014-06-30,0.9427
2014-07-01,0.9488
2014-07-02,0.9444
2014-07-03,0.9358
2014-07-04,0.9371
2014-07-05,0.9371
2014-07-06,0.9371
2014-07-07,0.9371
2014-07-08,0.94
2014-07-09,0.9396
2014-07-10,0.9387
2014-07-11,0.9383
2014-07-12,0.9392
2014-07-13,0.9392
2014-07-14,0.9392
2014-07-15,0.9366
2014-07-16,0.9362
2014-07-17,0.9372
2014-07-18,0.9386
2014-07-19,0.9377
2014-07-20,0.9377
2014-07-21,0.9377
2014-07-22,0.9388
2014-07-23,0.945
2014-07-24,0.9419
2014-07-25,0.9404
2014-07-26,0.941
2014-07-27,0.941
2014-07-28,0.941
2014-07-29,0.9378
2014-07-30,0.9315
2014-07-31,0.9301
2014-08-01,0.9304
2014-08-02,0.9328
2014-08-03,0.9328
2014-08-04,0.9328
2014-08-05,0.9301
2014-08-06,0.9327
2014-08-07,0.9283
2014-08-08,0.9277
2014-08-09,0.9263
2014-08-10,0.9263
2014-08-11,0.9263
2014-08-12,0.927
2014-08-13,0.9302
2014-08-14,0.9322
2014-08-15,0.9306
2014-08-16,0.933
2014-08-17,0.933
2014-08-18,0.933
2014-08-19,0.9311
2014-08-20,0.9306
2014-08-21,0.9302
2014-08-22,0.9309
2014-08-23,0.9296
2014-08-24,0.9296
2014-08-25,0.9296
2014-08-26,0.932
2014-08-27,0.9335
2014-08-28,0.9352
2014-08-29,0.9344
2014-08-30,0.9276
2014-08-31,0.9276
2014-09-01,0.9276
2014-09-02,0.9276
2014-09-03,0.9341
2014-09-04,0.9361
2014-09-05,0.9376
2014-09-06,0.93
2014-09-07,0.93
2014-09-08,0.93
2014-09-09,0.9207
2014-09-10,0.9153
2014-09-11,0.9115
2014-09-12,0.9047
2014-09-13,0.9027
2014-09-14,0.9027
2014-09-15,0.9027
2014-09-16,0.9096
2014-09-17,0.9028
2014-09-18,0.8984
2014-09-19,0.8935
2014-09-20,0.8876
2014-09-21,0.8876
2014-09-22,0.8876
2014-09-23,0.8853
2014-09-24,0.887
2014-09-25,0.8796
2014-09-26,0.8761
2014-09-27,0.8738
2014-09-28,0.8738
2014-09-29,0.8738
2014-09-30,0.8737
2014-10-01,0.8734
2014-10-02,0.8793
2014-10-03,0.8675
2014-10-04,0.8747
2014-10-05,0.8747
2014-10-06,0.8747
2014-10-07,0.8808
2014-10-08,0.8751
2014-10-09,0.8778
2014-10-10,0.8719
2014-10-11,0.8727
2014-10-12,0.8727
2014-10-13,0.8727
2014-10-14,0.8727
2014-10-15,0.8794
2014-10-16,0.8766
2014-10-17,0.8761
2014-10-18,0.8786
2014-10-19,0.8786
2014-10-20,0.8786
2014-10-21,0.8797
2014-10-22,0.8793
2014-10-23,0.8773
2014-10-24,0.8812
2014-10-25,0.8799
2014-10-26,0.8799
2014-10-27,0.8799
2014-10-28,0.8848
2014-10-29,0.8904
2014-10-30,0.8825
2014-10-31,0.8791
2014-11-01,0.8701
2014-11-02,0.8701
2014-11-03,0.8701
2014-11-04,0.8729
2014-11-05,0.8592
2014-11-06,0.858
2014-11-07,0.862
2014-11-08,0.8625
2014-11-09,0.8625
2014-11-10,0.8625
2014-11-11,0.8735
2014-11-12,0.8735
2014-11-13,0.873
2014-11-14,0.8737
2014-11-15,0.8718
2014-11-16,0.8718
2014-11-17,0.8718
2014-11-18,0.8726
2014-11-19,0.8623
2014-11-20,0.861
2014-11-21,0.8674
2014-11-22,0.8615
2014-11-23,0.8615
2014-11-24,0.8615
2014-11-25,0.852
2014-11-26,0.8534
2014-11-27,0.8524
2014-11-28,0.8524
2014-11-29,0.8521
2014-11-30,0.8521
2014-12-01,0.8521
2014-12-02,0.8457
2014-12-03,0.8417
2014-12-04,0.8405
2014-12-05,0.833
2014-12-06,0.8296
2014-12-07,0.8296
2014-12-08,0.8296
2014-12-09,0.8341
2014-12-10,0.8305
2014-12-11,0.8265
2014-12-12,0.8268
2014-12-13,0.8232
2014-12-14,0.8232
2014-12-15,0.8232
2014-12-16,0.822
2014-12-17,0.8173
2014-12-18,0.8168
2014-12-19,0.8128
2014-12-20,0.8141
2014-12-21,0.8141
2014-12-22,0.8141
2014-12-23,0.8097
2014-12-24,0.8109
2014-12-25,0.8146
2014-12-26,0.8146
2014-12-27,0.8146
2014-12-28,0.8146
2014-12-29,0.8146
2014-12-30,0.8199
2014-12-31,0.8173
2015-01-01,0.8118
2015-01-02,0.8118
2015-01-03,0.8095
2015-01-04,0.8095
2015-01-05,0.8095
2015-01-06,0.8118
2015-01-07,0.8049
2015-01-08,0.8126
2015-01-09,0.8191
2015-01-10,0.8165
2015-01-11,0.8165
2015-01-12,0.8165
2015-01-13,0.8164
2015-01-14,0.8163
2015-01-15,0.8212
2015-01-16,0.8194
2015-01-17,0.8177
2015-01-18,0.8177
2015-01-19,0.8177
2015-01-20,0.8177
2015-01-21,0.8101
2015-01-22,0.8099
2015-01-23,0.7935
2015-01-24,0.7934
2015-01-25,0.7934
2015-01-26,0.7934
2015-01-27,0.7939
2015-01-28,0.7973
2015-01-29,0.7758
2015-01-30,0.7762
2015-01-31,0.7818
2015-02-01,0.7818
2015-02-02,0.7818
2015-02-03,0.7737
2015-02-04,0.7761
2015-02-05,0.7803
2015-02-06,0.7807
2015-02-07,0.7813
2015-02-08,0.7813
2015-02-09,0.7813
2015-02-10,0.7781
2015-02-11,0.7713
2015-02-12,0.7763
2015-02-13,0.7772
2015-02-14,0.7816
2015-02-15,0.7816
2015-02-16,0.7816
2015-02-17,0.7816
2015-02-18,0.7778
2015-02-19,0.781
2015-02-20,0.7833
2015-02-21,0.7807
2015-02-22,0.7807
2015-02-23,0.7807
2015-02-24,0.7808
2015-02-25,0.7898
2015-02-26,0.7816
2015-02-27,0.781
2015-02-28,0.778
2015-03-01,0.778
2015-03-02,0.778
2015-03-03,0.784
2015-03-04,0.7821
2015-03-05,0.7763
2015-03-06,0.7712
2015-03-07,0.7716
2015-03-08,0.7716
2015-03-09,0.7716
2015-03-10,0.7637
2015-03-11,0.7582
2015-03-12,0.7705
2015-03-13,0.7631
2015-03-14,0.7656
2015-03-15,0.7656
2015-03-16,0.7656
2015-03-17,0.7615
2015-03-18,0.7653
2015-03-19,0.7618
2015-03-20,0.7759
2015-03-21,0.7848
2015-03-22,0.7848
2015-03-23,0.7848
2015-03-24,0.7869
2015-03-25,0.7856
2015-03-26,0.7836
2015-03-27,0.7754
2015-03-28,0.7645
2015-03-29,0.7645
2015-03-30,0.7645
2015-03-31,0.7625
2015-04-01,0.7615
2015-04-02,0.7566
2015-04-03,0.7645
2015-04-04,0.7657
2015-04-05,0.7657
2015-04-06,0.7657
2015-04-07,0.7646
2015-04-08,0.7715
2015-04-09,0.7706
2015-04-10,0.7674
2015-04-11,0.7579
2015-04-12,0.7579
2015-04-13,0.7579
2015-04-14,0.7638
2015-04-15,0.761
2015-04-16,0.7796
2015-04-17,0.7776
2015-04-18,0.7727
2015-04-19,0.7727
2015-04-20,0.7727
2015-04-21,0.7741
2015-04-22,0.7771
2015-04-23,0.7782
