DATE,DEXSZUS
2014-03-01,0.881
2014-03-02,0.881
2014-03-03,0.881
2014-03-04,0.8869
2014-03-05,0.8872
2014-03-06,0.881
2014-03-07,0.8785
2014-03-08,0.8781
2014-03-09,0.8781
2014-03-10,0.8781
2014-03-11,0.8783
2014-03-12,0.8743
2014-03-13,0.8726
2014-03-14,0.8712
2014-03-15,0.8726
2014-03-16,0.8726
2014-03-17,0.8726
2014-03-18,0.8743
2014-03-19,0.8747
2014-03-20,0.8833
2014-03-21,0.8836
2014-03-22,0.884
2014-03-23,0.884
2014-03-24,0.884
2014-03-25,0.8862
2014-03-26,0.8854
2014-03-27,0.8859
2014-03-28,0.8869
2014-03-29,0.884
2014-03-30,0.884
2014-03-31,0.884
2014-04-01,0.8825
2014-04-02,0.887
2014-04-03,0.8921
2014-04-04,0.8918
2014-04-05,0.8876
2014-04-06,0.8876
2014-04-07,0.8876
2014-04-08,0.8836
2014-04-09,0.8816
2014-04-10,0.8758
2014-04-11,0.8748
2014-04-12,0.8784
2014-04-13,0.8784
2014-04-14,0.8784
2014-04-15,0.8805
2014-04-16,0.8813
2014-04-17,0.8812
2014-04-18,0.8832
2014-04-19,0.8851
2014-04-20,0.8851
2014-04-21,0.8851
2014-04-22,0.8851
2014-04-23,0.8828
2014-04-24,0.8817
2014-04-25,0.8809
2014-04-26,0.8807
2014-04-27,0.8807
2014-04-28,0.8807
2014-04-29,0.8845
2014-04-30,0.88
2014-05-01,0.8797
2014-05-02,0.8789
2014-05-03,0.8774
2014-05-04,0.8774
2014-05-05,0.8774
2014-05-06,0.8744
2014-05-07,0.8758
2014-05-08,0.8784
2014-05-09,0.886
2014-05-10,0.8876
2014-05-11,0.8876
2014-05-12,0.8876
2014-05-13,0.8894
2014-05-14,0.8894
2014-05-15,0.8898
2014-05-16,0.891
2014-05-17,0.8916
2014-05-18,0.8916
2014-05-19,0.8916
2014-05-20,0.8916
2014-05-21,0.8951
2014-05-22,0.8948
2014-05-23,0.8958
2014-05-24,0.8977
2014-05-25,0.8977
2014-05-26,0.8977
2014-05-27,0.8977
2014-05-28,0.8982
2014-05-29,0.897
2014-05-30,0.8944
2014-05-31,0.898
2014-06-01,0.898
2014-06-02,0.898
2014-06-03,0.8964
2014-06-04,0.8956
2014-06-05,0.8944
2014-06-06,0.8938
2014-06-07,0.8974
2014-06-08,0.8974
2014-06-09,0.8974
2014-06-10,0.8996
2014-06-11,0.8998
2014-06-12,0.8982
2014-06-13,0.9008
2014-06-14,0.8969
2014-06-15,0.8969
2014-06-16,0.8969
2014-06-17,0.8998
2014-06-18,0.8976
2014-06-19,0.8932
2014-06-20,0.896
2014-06-21,0.8948
2014-06-22,0.8948
2014-06-23,0.8948
2014-06-24,0.8955
2014-06-25,0.8918
2014-06-26,0.8933
2014-06-27,0.8919
2014-06-28,0.8868
2014-06-29,0.8868
2014-06-30,0.8868
2014-07-01,0.8871
2014-07-02,0.8886
2014-07-03,0.8934
2014-07-04,0.8934
2014-07-05,0.8934
2014-07-06,0.8934
2014-07-07,0.8934
2014-07-08,0.8924
2014-07-09,0.8918
2014-07-10,0.8926
2014-07-11,0.8926
2014-07-12,0.8918
2014-07-13,0.8918
2014-07-14,0.8918
2014-07-15,0.8953
2014-07-16,0.8984
2014-07-17,0.8973
2014-07-18,0.8989
2014-07-19,0.898
2014-07-20,0.898
2014-07-21,0.898
2014-07-22,0.9022
2014-07-23,0.9024
2014-07-24,0.9024
